"year","region","abbreviation","totalballots","vap","vep"
"2012","maine","ME","724758","1063754","1044606"
"2012","maryland","MD","2734062","4552894","4062401"
"2012","massachusetts","MA","3184196","5278131","4824485"
"2012","michigan","MI","4780701","7637478","7327148"
"2012","minnesota","MN","2950780","4111021","3857424"
"2012","mississippi","MS","1285584","2245738","2166636"
"2012","missouri","MO","2840776","4627371","4430901"
"2012","montana","MT","491966","783676","773031"
"2012","nebraska","NE","804245","1394124","1315193"
"2012","nevada","NV","1016664","2099011","1795581"
"2012","new hampshire","NH","718700","1050220","1016041"
"2012","new jersey","NJ","3683638","6826144","5902545"
"2012","new mexico","NM","786522","1576959","1438878"
"2012","new york","NY","7128852","15334363","13321457"
"2012","north carolina","NC","4542488","7500448","6952078"
"2012","north dakota","ND","325564","548770","537941"
"2012","ohio","OH","5632423","8894484","8648493"
"2012","oklahoma","OK","1343380","2886686","2715732"
"2012","oregon","OR","1820507","3046864","2832164"
"2012","pennsylvania","PA","5783621","10037436","9656146"
"2012","rhode island","RI","451593","838169","772057"
"2012","south carolina","SC","1981516","3656261","3481760"
"2012","south dakota","SD","368270","630180","611872"
"2012","tennessee","TN","2479733","4975501","4735888"
"2012","texas","TX","7993851","19204782","16127383"
"2012","utah","UT","1028786","1976573","1831602"
"2012","vermont","VT","301793","501853","492820"
"2012","virginia","VA","3888186","6345002","5828032"
"2012","washington","WA","3172939","5329262","4820193"
"2012","west virginia","WV","685099","1472182","1446756"
"2012","wisconsin","WI","3084115","4411462","4203731"
"2012","wyoming","WY","250701","441429","424733"
"2010","alabama","AL","1503232","3661750","3487654"
"2010","alaska","AK","261128","528459","493475"
"2010","arizona","AZ","1750840","4806125","4225272"
"2010","arkansas","AR","789773","2216571","2082028"
"2010","california","CA","10529134","28157259","22823850"
"2010","colorado","CO","1828323","3842941","3521135"
"2010","connecticut","CT","1153872","2771060","2512285"
"2010","delaware","DE","316754","696911","646761"
"2010","district of columbia","DC","135846","507942","460938"
"2010","florida","FL","5473787","14916715","12966802"
"2010","georgia","GA","2623035","7253576","6394095"
"2010","hawaii","HI","386302","1064539","960761"
"2010","idaho","ID","459079","1146045","1057993"
"2010","illinois","IL","3792770","9736527","8780431"
"2010","indiana","IN","1791832","4895546","4700148"
"2010","iowa","IA","1133429","2328364","2227920"
"2010","kansas","KS","857658","2134690","1999897"
"2010","kentucky","KY","1417995","3332440","3186792"
"2010","louisiana","LA","1298649","3437623","3251832"
"2010","maine","ME","580584","1055878","1038785"
"2010","maryland","MD","1868179","4453952","3976848"
"2010","massachusetts","MA","2319963","5167053","4684240"
"2010","michigan","MI","3268217","7555775","7249664"
"2010","minnesota","MN","2123369","4040120","3787530"
"2010","mississippi","MS","788549","2221684","2143946"
"2010","missouri","MO","1997271","4580080","4383789"
"2010","montana","MT","367096","769610","758424"
"2010","nebraska","NE","503514","1373145","1302279"
"2010","nevada","NV","723515","2044399","1753166"
"2010","new hampshire","NH","461423","1033552","1001435"
"2010","new jersey","NJ","2200974","6752083","5813989"
"2010","new mexico","NM","630013","1551751","1411888"
"2010","new york","NY","4763899","15121092","13105474"
"2010","north carolina","NC","2700706","7320628","6777828"
"2010","north dakota","ND","241039","527031","516826"
"2010","ohio","OH","3956028","8827567","8566897"
"2010","oklahoma","OK","1043507","2836265","2673056"
"2010","oregon","OR","1487210","2983427","2760025"
"2010","pennsylvania","PA","4055336","9943828","9562603"
"2010","rhode island","RI","346357","831351","763719"
"2010","south carolina","SC","1365480","3569456","3385527"
"2010","south dakota","SD","323410","615153","598304"
"2010","tennessee","TN","1620542","4876354","4636768"
"2010","texas","TX","5066957","18480135","15461769"
"2010","utah","UT","653274","1911676","1774967"
"2010","vermont","VT","243617","498078","488761"
"2010","virginia","VA","2214505","6193893","5676934"
"2010","washington","WA","2565589","5186815","4687044"
"2010","west virginia","WV","536493","1468244","1444109"
"2010","wisconsin","WI","2185021","4361980","4161265"
"2010","wyoming","WY","190822","429977","416931"
"2008","alabama","AL","2105622","3595708","3455447"
"2008","alaska","AK","327341","507645","479628"
"2008","arizona","AZ","2320851","4673718","4047095"
"2008","arkansas","AR","1095958","2174846","2071520"
"2008","california","CA","13743177","27411094","22270461"
"2008","colorado","CO","2422236","3708955","3383138"
"2008","connecticut","CT","","2725917","2472389"
"2008","delaware","DE","413562","680493","628468"
"2008","district of columbia","DC","266871","481971","432328"
"2008","florida","FL","8453743","14558436","12683359"
"2008","georgia","GA","3940705","7063638","6285008"
"2008","hawaii","HI","456064","1036088","929632"
"2008","idaho","ID","667506","1117842","1029341"
"2008","illinois","IL","5578195","9615700","8685582"
"2008","indiana","IN","2805986","4826231","4653122"
"2008","iowa","IA","1543662","2298515","2216929"
"2008","kansas","KS","1264208","2100084","1992730"
"2008","kentucky","KY","1858578","3277617","3152147"
