"DIST_NAME","SY","kindercount"
"Hingham",2021,47
"Hingham",2022,85
"Hingham",2023,77
"Holbrook",2018,95
"Holbrook",2019,114
"Holbrook",2020,106
"Holbrook",2021,87
"Holbrook",2022,105
"Holbrook",2023,112
"Holland",2018,29
"Holland",2019,28
"Holland",2020,18
"Holland",2021,20
"Holland",2022,30
"Holland",2023,30
"Holliston",2018,200
"Holliston",2019,173
"Holliston",2020,194
"Holliston",2021,176
"Holliston",2022,226
"Holliston",2023,191
"Holyoke",2018,278
"Holyoke",2019,299
"Holyoke",2020,353
"Holyoke",2021,310
"Holyoke",2022,318
"Holyoke",2023,309
"Hudson",2018,128
"Hudson",2019,131
"Hudson",2020,126
"Hudson",2021,120
"Hudson",2022,117
"Hudson",2023,129
"Hull",2018,62
"Hull",2019,64
"Hull",2020,52
"Hull",2021,43
"Hull",2022,53
"Hull",2023,47
"Ipswich",2018,130
"Ipswich",2019,105
"Ipswich",2020,52
"Ipswich",2021,44
"Ipswich",2022,68
"Ipswich",2023,98
"Lawrence",2018,423
"Lawrence",2019,527
"Lawrence",2020,375
"Lawrence",2021,350
"Lawrence",2022,336
"Lawrence",2023,438
"Lawrence Family Development Charter",2018,85
"Lawrence Family Development Charter",2019,84
"Lawrence Family Development Charter",2020,81
"Lawrence Family Development Charter",2021,81
"Lawrence Family Development Charter",2022,80
"Lawrence Family Development Charter",2023,104
"Lee",2018,63
"Lee",2019,52
"Lee",2020,53
"Lee",2021,41
"Lee",2022,36
"Lee",2023,51
"Lenox",2018,34
"Lenox",2019,48
"Lenox",2020,44
"Lenox",2021,44
"Lenox",2022,40
"Lenox",2023,55
"Lincoln",2018,121
"Lincoln",2019,138
"Lincoln",2020,109
"Lincoln",2021,91
"Lincoln",2022,106
"Lincoln",2023,80
"Littleton",2018,145
"Littleton",2019,120
"Littleton",2020,116
"Littleton",2021,95
"Littleton",2022,142
"Littleton",2023,129
"Longmeadow",2018,57
"Longmeadow",2019,59
"Longmeadow",2020,55
"Longmeadow",2021,46
"Longmeadow",2022,60
"Longmeadow",2023,66
"Lowell",2018,1040
"Lowell",2019,996
"Lowell",2020,976
"Lowell",2021,895
"Lowell",2022,1006
"Lowell",2023,971
"Lowell Community Charter",2018,96
"Lowell Community Charter",2019,96
"Lowell Community Charter",2020,100
"Lowell Community Charter",2021,95
"Lowell Community Charter",2022,98
"Lowell Community Charter",2023,99
"Ludlow",2018,149
"Ludlow",2019,148
"Ludlow",2020,161
"Ludlow",2021,133
"Ludlow",2022,128
"Ludlow",2023,104
"Lunenburg",2018,109
"Lunenburg",2019,144
"Lunenburg",2020,121
"Lunenburg",2021,106
"Lunenburg",2022,124
"Lunenburg",2023,106
"Lynn",2018,485
"Lynn",2019,482
"Lynn",2020,491
"Lynn",2021,542
"Lynn",2022,599
"Lynn",2023,509
"MATCH Charter Public School",2018,94
"MATCH Charter Public School",2019,90
"MATCH Charter Public School",2020,92
"MATCH Charter Public School",2021,90
"MATCH Charter Public School",2022,91
"MATCH Charter Public School",2023,90
"Manchester Essex",2018,41
"Manchester Essex",2019,43
"Manchester Essex",2020,44
"Manchester Essex",2021,28
"Manchester Essex",2022,28
"Manchester Essex",2023,39
"Marblehead",2018,73
"Marblehead",2019,69
"Marblehead",2020,81
"Marblehead",2021,65
"Marblehead",2022,147
"Marblehead",2023,173
"Marion",2018,56
"Marion",2019,55
"Marion",2020,55
"Marion",2021,41
"Marion",2022,50
"Marion",2023,47
"Marshfield",2018,107
"Marshfield",2019,166
"Marshfield",2020,124
"Marshfield",2021,104
"Marshfield",2022,122
"Marshfield",2023,80
"Mashpee",2018,122
"Mashpee",2019,97
"Mashpee",2020,96
"Mashpee",2021,93
"Mashpee",2022,90
"Mashpee",2023,105
"Mattapoisett",2018,58
"Mattapoisett",2019,51
"Mattapoisett",2020,52
"Mattapoisett",2021,48
"Mattapoisett",2022,59
"Mattapoisett",2023,53
"Maynard",2018,121
"Maynard",2019,110
"Maynard",2020,101
"Maynard",2021,79
"Maynard",2022,90
"Maynard",2023,91
"Medfield",2018,174
"Medfield",2019,184
"Medfield",2020,195
"Medfield",2021,163
"Medfield",2022,197
"Medfield",2023,169
"Medford",2018,304
"Medford",2019,305
"Medford",2020,313
"Medford",2021,268
"Medford",2022,355
"Medford",2023,294
"Medway",2018,147
"Medway",2019,145
"Medway",2020,145
"Medway",2021,143
"Medway",2022,149
"Medway",2023,158
"Mendon-Upton",2018,164
"Mendon-Upton",2019,154
"Mendon-Upton",2020,154
"Mendon-Upton",2021,136
"Mendon-Upton",2022,160
"Mendon-Upton",2023,165
"Methuen",2018,484
"Methuen",2019,464
"Methuen",2020,476
"Methuen",2021,365
"Methuen",2022,313
"Methuen",2023,418
"Middleborough",2018,232
"Middleborough",2019,205
"Middleborough",2020,219
"Middleborough",2021,202
"Middleborough",2022,220
"Middleborough",2023,225
"Millbury",2018,127
"Millbury",2019,109
"Millbury",2020,126
"Millbury",2021,91
"Millbury",2022,119
"Millbury",2023,121
"Millis",2018,102
"Millis",2019,81
"Millis",2020,80
"Millis",2021,82
"Millis",2022,86
"Millis",2023,90
"Milton",2018,163
"Milton",2019,158
"Milton",2020,167
"Milton",2021,146
"Milton",2022,159
"Milton",2023,153
"Mohawk Trail",2018,77
"Mohawk Trail",2019,64
"Mohawk Trail",2020,53
"Mohawk Trail",2021,41
"Mohawk Trail",2022,46
"Mohawk Trail",2023,55
"Monomoy",2018,145
"Monomoy",2019,124
"Monomoy",2020,122
"Monomoy",2021,102
"Monomoy",2022,82
"Monomoy",2023,81
"Monson",2018,61
"Monson",2019,71
"Monson",2020,71
"Monson",2021,64
"Monson",2022,54
"Monson",2023,58
"Nahant",2018,13
"Nahant",2019,12
"Nahant",2020,17
"Nahant",2021,28
"Nahant",2022,17
"Nahant",2023,20
"Nantucket",2018,118
"Nantucket",2019,111
"Nantucket",2020,103
"Nantucket",2021,114
"Nantucket",2022,122
"Nantucket",2023,115
"Narragansett",2018,19
"Narragansett",2019,20
"Narragansett",2020,93
"Narragansett",2021,89
"Narragansett",2022,92
"Narragansett",2023,106
"Nashoba",2018,206
"Nashoba",2019,209
"Nashoba",2020,202
"Nashoba",2021,216
"Nashoba",2022,241
"Nashoba",2023,214
"Needham",2018,118
"Needham",2019,101
"Needham",2020,101
"Needham",2021,78
"Needham",2022,84
"Needham",2023,101
"Neighborhood House Charter",2018,38
"Neighborhood House Charter",2019,40
"Neighborhood House Charter",2020,39
"Neighborhood House Charter",2021,37
"Neighborhood House Charter",2022,39
"Neighborhood House Charter",2023,40
