household_id,state,husband_age,husband_total_income,wife_age,wife_total_income
461868,Washington,46,58000,NA,NA
462976,Oregon,NA,NA,45,110000
464169,Washington,48,48000,NA,NA
464494,Oregon,NA,NA,36,19000
465625,Washington,60,56000,NA,NA
466039,Oregon,NA,NA,50,5500
467557,Washington,NA,NA,38,89450
467578,Oregon,NA,NA,58,15400
468014,Washington,79,139500,NA,NA
469508,Oregon,NA,NA,56,70000
470264,Washington,NA,NA,65,7600
470859,Oregon,44,30000,NA,NA
471011,Washington,67,42210,NA,NA
471428,Oregon,NA,NA,43,60000
471895,Oregon,44,460000,NA,NA
474357,Oregon,76,46600,NA,NA
474466,Washington,NA,NA,34,0
475243,Washington,30,15100,NA,NA
475596,Washington,50,100000,40,30000
476077,Washington,NA,NA,28,0
477123,Oregon,28,11000,NA,NA
477250,Washington,30,105000,NA,NA
478079,Oregon,46,21500,NA,NA
478155,Oregon,69,60000,NA,NA
479720,Washington,NA,NA,55,130000
481019,Oregon,68,20000,NA,NA
481247,Oregon,NA,NA,41,30000
482013,Oregon,52,75000,NA,NA
483091,Washington,43,23000,NA,NA
483543,Oregon,70,76100,NA,NA
485437,Oregon,46,50000,NA,NA
485685,Oregon,70,18600,NA,NA
485933,Oregon,NA,NA,69,12000
487182,Washington,25,12000,NA,NA
487275,Washington,57,55000,NA,NA
487858,Washington,71,21800,NA,NA
488093,Oregon,NA,NA,51,84000
488220,Oregon,NA,NA,68,11100
488840,Oregon,53,120000,NA,NA
489060,Oregon,NA,NA,25,6000
489264,Washington,63,73000,NA,NA
490335,Oregon,NA,NA,52,17000
491087,Oregon,74,35400,NA,NA
491717,Washington,69,84700,NA,NA
492626,Oregon,62,44000,NA,NA
495525,Washington,NA,NA,38,0
495821,Washington,NA,NA,58,30000
496778,Washington,54,36200,NA,NA
496940,Oregon,37,101000,NA,NA
497627,Washington,54,15000,NA,NA
497752,Oregon,51,406000,NA,NA
498031,Washington,NA,NA,37,40780
498707,Oregon,86,61900,NA,NA
498744,Washington,NA,NA,65,58000
499035,Oregon,55,36000,54,43800
500204,Washington,NA,NA,35,28900
502514,Washington,40,120000,NA,NA
502565,Oregon,NA,NA,54,22000
503123,Washington,NA,NA,58,21000
504587,Oregon,64,84600,NA,NA
504855,Oregon,NA,NA,52,22950
504945,Washington,65,31200,NA,NA
506058,Oregon,68,10860,NA,NA
506504,Washington,NA,NA,46,467000
506855,Oregon,79,30400,NA,NA
507537,Washington,NA,NA,27,20000
508322,Oregon,39,66000,NA,NA
508330,Oregon,73,18700,NA,NA
508543,Oregon,NA,NA,71,10800
509134,Washington,61,99050,NA,NA
509204,Washington,NA,NA,49,91000
509745,Washington,50,102000,NA,NA
512999,Washington,35,15000,NA,NA
513972,Oregon,65,37200,73,21800
515068,Oregon,25,19100,NA,NA
515397,Washington,44,26000,NA,NA
517366,Oregon,NA,NA,59,0
517395,Washington,48,15000,NA,NA
517946,Oregon,NA,NA,65,49100
