"year","region","abbreviation","totalballots","vap","vep"
"1996","california","CA","10263490","23076427","18653967"
"1996","colorado","CO","","2939929","2771276"
"1996","connecticut","CT","1410746","2528212","2337497"
"1996","delaware","DE","277418","559598","528845"
"1996","district of columbia","DC","189210","450182","398939"
"1996","florida","FL","5444245","11509122","10224190"
"1996","illinois","IL","4418270","8927254","8218858"
"1996","indiana","IN","2195224","4397367","4301254"
"1996","iowa","IA","1251983","2154320","2099307"
"1996","kansas","KS","1073520","1922601","1857167"
"1996","maine","ME","","944106","929944"
"1996","maryland","MD","1793991","3817454","3530104"
"1996","massachusetts","MA","2600278","4723380","4383297"
"1996","minnesota","MN","2211161","3473117","3319761"
"1996","nebraska","NE","686749","1230047","1188139"
"1996","nevada","NV","467657","1271617","1134278"
"1996","new hampshire","NH","513700","878569","855421"
"1996","new mexico","NM","579763","1249597","1172766"
"1996","new york","NY","6439129","13942462","12170405"
"1996","north carolina","NC","","5717844","5434908"
"1996","ohio","OH","4638108","8366250","8188251"
"1996","oklahoma","OK","1218248","2461718","2369301"
"1996","oregon","OR","1399180","2445442","2309618"
"1996","rhode island","RI","","781307","717236"
"1996","south carolina","SC","1203486","2825088","2730371"
"1996","south dakota","SD","329316","537038","529605"
"1996","tennessee","TN","","4094014","3985449"
"1996","texas","TX","","13887542","12066921"
"1996","virginia","VA","2468229","5106297","4813918"
"1996","washington","WA","2293895","4147127","3830617"
"1996","wisconsin","WI","","3886906","3764309"
"1996","wyoming","WY","215844","353354","345181"
"1994","alabama","AL","","3170782","3096124"
"1994","alaska","AK","216668","417053","399387"
"1994","arkansas","AR","","1849361","1801649"
"1994","california","CA","8900593","22721586","18489178"
"1994","colorado","CO","1173130","2785952","2647404"
"1994","connecticut","CT","1163829","2515100","2334517"
"1994","delaware","DE","201560","540474","513173"
"1994","district of columbia","DC","186316","463680","411927"
"1994","florida","FL","4305340","11016840","9813060"
"1994","illinois","IL","3219122","8819582","8174500"
"1994","indiana","IN","1609481","4315664","4235915"
"1994","iowa","IA","1022372","2128370","2077232"
"1994","kansas","KS","836251","1893521","1837918"
"1994","maine","ME","","932164","918182"
"1994","maryland","MD","1437450","3751305","3481974"
"1994","massachusetts","MA","2232186","4668100","4355337"
"1994","minnesota","MN","1794618","3385687","3253580"
"1994","nebraska","NE","593654","1201826","1164987"
"1994","nevada","NV","386582","1143487","1032207"
"1994","new hampshire","NH","319443","851104","829508"
"1994","new mexico","NM","485709","1195183","1127797"
"1994","new york","NY","5325323","13861352","12188299"
"1994","north carolina","NC","","5477604","5246170"
"1994","ohio","OH","3540954","8292312","8133146"
"1994","oklahoma","OK","1002363","2410272","2328689"
"1994","oregon","OR","1254265","2344505","2229722"
"1994","rhode island","RI","","776723","716032"
"1994","south carolina","SC","951901","2747987","2664436"
"1994","south dakota","SD","318090","524910","519003"
"1994","tennessee","TN","","3945407","3848969"
"1994","texas","TX","","13334014","11722391"
"1994","virginia","VA","","4983515","4720562"
"1994","washington","WA","1733471","3994036","3714729"
"1994","wisconsin","WI","","3801543","3693077"
"1994","wyoming","WY","204025","344492","337144"
"1992","alabama","AL","","3096959","3029105"
"1992","alaska","AK","261427","406653","389778"
"1992","arkansas","AR","","1789420","1751557"
"1992","california","CA","11374565","22573381","18470965"
"1992","colorado","CO","1597166","2602217","2494304"
"1992","connecticut","CT","1645609","2521774","2356994"
"1992","delaware","DE","290836","523661","499514"
"1992","district of columbia","DC","231445","477564","427081"
"1992","florida","FL","5438612","10591116","9507130"
"1992","illinois","IL","5164357","8688184","8117877"
"1992","indiana","IN","2347912","4230602","4161659"
"1992","iowa","IA","1360856","2098809","2057899"
"1992","kansas","KS","1161044","1857444","1810552"
"1992","maine","ME","","928998","915063"
"1992","maryland","MD","1999486","3695298","3439719"
"1992","massachusetts","MA","2822962","4640629","4348269"
"1992","minnesota","MN","2355796","3298080","3186628"
"1992","nebraska","NE","744548","1178965","1149198"
"1992","nevada","NV","513387","1028056","940474"
"1992","new hampshire","NH","545197","833997","813872"
"1992","new mexico","NM","590901","1131081","1073250"
"1992","new york","NY","7068630","13799670","12225165"
"1992","north carolina","NC","","5259564","5076318"
"1992","ohio","OH","5043094","8208502","8063413"
"1992","oklahoma","OK","1455635","2366029","2292910"
"1992","oregon","OR","1498959","2241507","2145264"
"1992","rhode island","RI","","779266","721459"
"1992","south carolina","SC","1234712","2683852","2609884"
"1992","south dakota","SD","","508841","503792"
"1992","tennessee","TN","","3811036","3726140"
"1992","texas","TX","","12747860","11353324"
"1992","virginia","VA","","4856799","4623058"
"1992","washington","WA","2324907","3827227","3577619"
"1992","wisconsin","WI","","3712414","3619052"
"1992","wyoming","WY","203602","331170","324405"
"1990","alabama","AL","","3012797","2956229"
"1990","alaska","AK","197540","379863","364237"
"1990","arkansas","AR","","1742746","1711262"
"1990","california","CA","7899131","22061053","18145803"
"1990","colorado","CO","1046139","2447513","2366468"
"1990","connecticut","CT","1159361","2538398","2384982"
"1990","delaware","DE","183977","507016","486517"
"1990","district of columbia","DC","171677","489808","441656"
"1990","florida","FL","","10137720","9144447"
"1990","illinois","IL","3420720","8535069","8029589"
"1990","indiana","IN","1566371","4135602","4081510"
"1990","iowa","IA","1004908","2065490","2031809"
"1990","kansas","KS","805251","1821368","1782808"
"1990","maine","ME","","924839","910966"
"1990","maryland","MD","1170867","3632477","3398527"
"1990","massachusetts","MA","2424579","4660342","4385382"
"1990","minnesota","MN","1843104","3225335","3135793"
"1990","nebraska","NE","604195","1154859","1131794"
