state,age,sex,total_income,health_insurance,transport
Washington,35,female,8000,with,"Car, truck, or van"
Oregon,30,male,85000,with,Worked at home
Washington,46,female,28000,with,"Car, truck, or van"
Washington,70,male,11900,with,"Car, truck, or van"
Washington,32,male,65000,without,"Car, truck, or van"
Washington,50,male,22500,with,NA
Washington,66,male,25800,with,"Car, truck, or van"
Washington,81,male,21000,with,NA
Washington,52,female,56000,with,"Car, truck, or van"
Washington,55,male,38000,with,"Car, truck, or van"
Washington,84,male,132001,with,NA
Washington,49,male,527000,with,Other
Washington,62,female,28040,with,"Car, truck, or van"
Washington,59,male,34000,with,"Car, truck, or van"
Oregon,58,male,20720,with,"Car, truck, or van"
Washington,60,male,98000,with,"Car, truck, or van"
Washington,69,male,59600,with,NA
Washington,71,female,25800,with,NA
Oregon,59,male,65000,with,NA
Washington,36,female,30000,with,"Car, truck, or van"
Washington,39,male,99000,with,"Car, truck, or van"
Oregon,77,female,39200,with,NA
Washington,40,female,0,with,NA
Washington,51,male,100000,with,"Car, truck, or van"
Washington,53,female,21000,with,"Car, truck, or van"
Oregon,33,female,87000,with,Other
Washington,34,male,20000,with,NA
Oregon,62,male,7100,with,"Car, truck, or van"
Oregon,65,male,36700,with,"Car, truck, or van"
Washington,76,male,278000,with,NA
Oregon,78,male,57400,with,NA
Washington,72,female,7220,with,NA
Washington,55,male,238200,with,"Car, truck, or van"
Oregon,58,male,408000,with,"Car, truck, or van"
Oregon,57,male,21000,with,NA
Oregon,44,male,175000,with,Bicycle
Washington,73,female,36200,with,NA
Oregon,75,male,24000,with,NA
Washington,40,male,64500,with,"Car, truck, or van"
Washington,61,female,9000,with,NA
Washington,45,female,16000,with,NA
Oregon,25,female,37000,with,"Car, truck, or van"
Oregon,67,female,60050,with,"Car, truck, or van"
Washington,27,male,60000,with,"Car, truck, or van"
Washington,69,male,80400,with,NA
Washington,32,male,163000,with,"Car, truck, or van"
Oregon,38,female,30000,with,"Car, truck, or van"
Oregon,46,female,0,with,NA
Washington,45,female,60000,with,"Car, truck, or van"
Washington,28,male,40000,with,"Car, truck, or van"
Washington,62,male,8300,with,Walked
Oregon,78,female,23100,with,NA
Washington,75,male,226001,with,Bus or trolley bus
Oregon,65,female,15700,with,NA
Oregon,64,female,9110,with,NA
Washington,75,male,174000,with,NA
Washington,32,female,2000,with,NA
Oregon,55,male,185000,with,"Car, truck, or van"
Washington,50,male,190,with,NA
Oregon,65,female,15200,with,NA
Washington,30,male,50000,with,"Car, truck, or van"
