household_id,state,person,age,total_income
258395,Oregon,husband,59,50700
258395,Oregon,wife,55,40800
258477,Washington,husband,53,48000
258477,Washington,wife,55,0
258917,Washington,husband,60,32000
258917,Washington,wife,34,0
259215,Washington,husband,75,174000
259215,Washington,wife,63,30000
260277,Oregon,husband,47,106000
260277,Oregon,wife,48,60000
263203,Washington,husband,51,34000
263203,Washington,wife,65,34000
263383,Oregon,husband,66,47000
263383,Oregon,wife,68,58000
264545,Oregon,husband,39,25000
264545,Oregon,wife,35,30000
265475,Oregon,husband,32,65000
265475,Oregon,wife,28,53000
266264,Washington,husband,26,32000
266264,Washington,wife,24,25000
266786,Washington,husband,36,68000
266786,Washington,wife,37,35000
267008,Oregon,husband,69,90800
267008,Oregon,wife,69,36700
267170,Washington,husband,53,20000
267170,Washington,wife,52,42000
267515,Washington,husband,29,0
267515,Washington,wife,28,45000
267860,Oregon,husband,62,42900
267860,Oregon,wife,55,43350
268894,Oregon,husband,29,50000
268894,Oregon,wife,29,90000
269887,Washington,husband,62,96000
269887,Washington,wife,56,125000
270466,Washington,husband,66,13900
270466,Washington,wife,80,19400
271099,Washington,husband,66,83800
271099,Washington,wife,66,11800
271216,Washington,husband,60,45000
271216,Washington,wife,59,29000
272395,Oregon,husband,71,43300
272395,Oregon,wife,74,8500
272672,Washington,husband,30,39000
272672,Washington,wife,31,38000
272975,Washington,husband,33,150000
272975,Washington,wife,33,40000
274275,Washington,husband,77,49000
274275,Washington,wife,68,62000
274724,Oregon,husband,73,13300
274724,Oregon,wife,73,9200
275504,Oregon,husband,35,166500
275504,Oregon,wife,35,220000
275519,Washington,husband,74,108200
275519,Washington,wife,68,8200
276206,Washington,husband,67,159000
276206,Washington,wife,67,87000
276335,Oregon,husband,32,58000
276335,Oregon,wife,33,36000
276888,Washington,husband,57,23700
276888,Washington,wife,55,26200
277348,Oregon,husband,34,37630
277348,Oregon,wife,37,18000
277745,Oregon,husband,51,25000
277745,Oregon,wife,51,0
278405,Oregon,husband,31,10000
278405,Oregon,wife,32,0
278810,Oregon,husband,56,48400
278810,Oregon,wife,45,0
279454,Washington,husband,45,17000
279454,Washington,wife,34,18500
279489,Oregon,husband,49,11900
279489,Oregon,wife,45,37000
280388,Washington,husband,75,32400
280388,Washington,wife,74,34700
280538,Washington,husband,53,70000
280538,Washington,wife,44,90000
281769,Oregon,husband,57,20000
281769,Oregon,wife,55,70000
283129,Oregon,husband,74,44100
283129,Oregon,wife,72,29000
283166,Oregon,husband,43,119000
283166,Oregon,wife,43,70000
284297,Washington,husband,75,40300
284297,Washington,wife,71,37500
287088,Washington,husband,63,76300
287088,Washington,wife,60,23500
288540,Oregon,husband,78,15000
288540,Oregon,wife,74,12000
288560,Oregon,husband,76,55800
288560,Oregon,wife,75,350
289068,Oregon,husband,80,37900
289068,Oregon,wife,71,12000
289271,Oregon,husband,29,69400
289271,Oregon,wife,29,28400
289457,Washington,husband,61,27600
289457,Washington,wife,57,22200
292038,Washington,husband,45,101050
292038,Washington,wife,49,24000
294513,Oregon,husband,38,63000
294513,Oregon,wife,35,9000
295066,Washington,husband,62,31000
295066,Washington,wife,58,12000
295905,Washington,husband,62,52000
295905,Washington,wife,57,33000
298306,Oregon,husband,33,60000
298306,Oregon,wife,32,40000
298371,Oregon,husband,49,42000
298371,Oregon,wife,49,120000
298802,Oregon,husband,52,24600
298802,Oregon,wife,50,27500
299078,Washington,husband,58,40050
299078,Washington,wife,73,50020
299553,Oregon,husband,27,25400
299553,Oregon,wife,27,21600
299729,Washington,husband,57,135000
299729,Washington,wife,53,40000
299929,Oregon,husband,67,7800
299929,Oregon,wife,66,2700
300335,Oregon,husband,45,34000
300335,Oregon,wife,44,0
301631,Washington,husband,52,78000
301631,Washington,wife,46,5700
301718,Oregon,husband,84,37800
301718,Oregon,wife,75,48800
301980,Oregon,husband,60,44900
301980,Oregon,wife,60,73700
302948,Washington,husband,39,85000
302948,Washington,wife,42,35000
303664,Oregon,husband,75,46310
303664,Oregon,wife,69,17000
303913,Washington,husband,66,143500
303913,Washington,wife,61,20000
305650,Washington,husband,70,51300
305650,Washington,wife,64,39800
306507,Washington,husband,66,30000
306507,Washington,wife,67,27600
307417,Washington,husband,76,31100
307417,Washington,wife,71,20100
308507,Washington,husband,44,39000
308507,Washington,wife,47,9800
308549,Washington,husband,35,100000
308549,Washington,wife,34,0
308664,Washington,husband,82,57200
308664,Washington,wife,78,18300
308760,Oregon,husband,46,50000
308760,Oregon,wife,45,48000
308784,Oregon,husband,62,611000
308784,Oregon,wife,61,3600
309115,Oregon,husband,60,43780
309115,Oregon,wife,55,37650
309754,Washington,husband,64,40700
309754,Washington,wife,63,17100
310353,Oregon,husband,58,183000
310353,Oregon,wife,60,0
310535,Washington,husband,73,79000
310535,Washington,wife,72,18200
311367,Oregon,husband,38,55000
311367,Oregon,wife,37,98000
311781,Oregon,husband,43,35000
311781,Oregon,wife,37,27500
312844,Washington,husband,45,31000
312844,Washington,wife,47,14900
313179,Washington,husband,59,180010
313179,Washington,wife,55,115030
313649,Oregon,husband,67,23400
313649,Oregon,wife,63,21700
314199,Oregon,husband,65,38000
314199,Oregon,wife,65,0
315581,Oregon,husband,61,101000
315581,Oregon,wife,64,0
316271,Oregon,husband,66,80000
316271,Oregon,wife,59,0
316945,Washington,husband,55,30000
316945,Washington,wife,49,32000
317904,Washington,husband,45,50000
317904,Washington,wife,40,50000
319083,Oregon,husband,71,39500
319083,Oregon,wife,70,11000
320395,Oregon,husband,55,42000
320395,Oregon,wife,55,25000
321349,Oregon,husband,88,99800
321349,Oregon,wife,80,14200
321728,Washington,husband,83,51300
321728,Washington,wife,77,3200
323054,Washington,husband,32,48000
323054,Washington,wife,27,16800
323379,Washington,husband,40,12500
323379,Washington,wife,40,28800
323713,Oregon,husband,73,41400
323713,Oregon,wife,72,5900
323802,Oregon,husband,84,26700
